"filename", "language", "TypeScript", "comment", "blank", "total"
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\index.ts", "TypeScript", 45, 0, 6, 51
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\engine\Engine.ts", "TypeScript", 6, 0, 2, 8
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\etc\Loader.ts", "TypeScript", 26, 0, 0, 26
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\etc\Wait.ts", "TypeScript", 7, 0, 0, 7
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\Game.ts", "TypeScript", 31, 0, 1, 32
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\field.ts", "TypeScript", 40, 0, 0, 40
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Card.ts", "TypeScript", 11, 0, 0, 11
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Opponent.ts", "TypeScript", 4, 0, 1, 5
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Player.ts", "TypeScript", 66, 0, 2, 68
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\scenario\Scenario.ts", "TypeScript", 23, 0, 0, 23
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\main.ts", "TypeScript", 25, 1, 4, 30
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\types\card.d.ts", "TypeScript", 0, 0, 1, 1
"Total", "-", 284, 1, 17, 302
