"filename", "language", "JSON", "TypeScript", "comment", "blank", "total"
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Bird.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Fish.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\ForestGuardian.json", "JSON", 10, 0, 0, 1, 11
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Humen.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Shark.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Turtle.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\test.json", "JSON", 10, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\index.ts", "TypeScript", 0, 33, 0, 4, 37
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\cardObject\CanvasCardObject.ts", "TypeScript", 0, 127, 0, 3, 130
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\etc\ToCanvasAxis.ts", "TypeScript", 0, 4, 0, 0, 4
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\Field.ts", "TypeScript", 0, 194, 0, 4, 198
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\Game.ts", "TypeScript", 0, 342, 1, 30, 373
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\field.ts", "TypeScript", 0, -40, 0, 0, -40
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Card.ts", "TypeScript", 0, 19, 0, 1, 20
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Opponent.ts", "TypeScript", 0, 17, 0, 0, 17
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Player.ts", "TypeScript", 0, -31, 0, -1, -32
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\scenario\Scenario.ts", "TypeScript", 0, 12, 0, 0, 12
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\Space.ts", "TypeScript", 0, 25, 0, 1, 26
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\World.ts", "TypeScript", 0, 93, 1, 2, 96
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Entity.ts", "TypeScript", 0, 10, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Obstacle.ts", "TypeScript", 0, 6, 0, 2, 8
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Player.ts", "TypeScript", 0, 12, 0, 0, 12
"Total", "-", 70, 823, 2, 47, 942
