"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Bird.json", "JSON", 0, 10, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Fish.json", "JSON", 0, 10, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\ForestGuardian.json", "JSON", 0, 10, 0, 1, 11
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Humen.json", "JSON", 0, 10, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Shark.json", "JSON", 0, 10, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\Turtle.json", "JSON", 0, 10, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\cardData\test.json", "JSON", 0, 10, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\index.ts", "TypeScript", 78, 0, 0, 10, 88
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\cardObject\CanvasCardObject.ts", "TypeScript", 127, 0, 0, 3, 130
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\engine\Engine.ts", "TypeScript", 6, 0, 0, 2, 8
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\etc\Loader.ts", "TypeScript", 26, 0, 0, 0, 26
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\etc\ToCanvasAxis.ts", "TypeScript", 4, 0, 0, 0, 4
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\etc\Wait.ts", "TypeScript", 7, 0, 0, 0, 7
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\Field.ts", "TypeScript", 194, 0, 0, 4, 198
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\Game.ts", "TypeScript", 373, 0, 1, 31, 405
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Card.ts", "TypeScript", 30, 0, 0, 1, 31
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Opponent.ts", "TypeScript", 21, 0, 0, 1, 22
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Player.ts", "TypeScript", 35, 0, 0, 1, 36
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\scenario\Scenario.ts", "TypeScript", 35, 0, 0, 0, 35
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\Space.ts", "TypeScript", 25, 0, 0, 1, 26
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\World.ts", "TypeScript", 93, 0, 1, 2, 96
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Entity.ts", "TypeScript", 10, 0, 0, 0, 10
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Obstacle.ts", "TypeScript", 6, 0, 0, 2, 8
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Player.ts", "TypeScript", 12, 0, 0, 0, 12
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\main.ts", "TypeScript", 25, 0, 1, 4, 30
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\types\card.d.ts", "TypeScript", 0, 0, 0, 1, 1
"Total", "-", 1107, 70, 3, 64, 1244
