"filename", "language", "TypeScript", "JSON", "comment", "blank", "total"
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Bird.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Fish.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\ForestGuardian.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Humen.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Shark.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\Turtle.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\data\cardData\test.json", "JSON", 0, 1, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\index.ts", "TypeScript", -4, 0, 2, 0, -2
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\cardObject\CanvasCardObject.ts", "TypeScript", 19, 0, -1, 0, 18
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\game\Game.ts", "TypeScript", -17, 0, 46, 3, 32
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\objects\Card.ts", "TypeScript", 2, 0, 0, 0, 2
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\scenario\Scenario.ts", "TypeScript", 2, 0, 0, 1, 3
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\subtitle\Subtitle.ts", "TypeScript", 36, 0, 0, 6, 42
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\Chapter.ts", "TypeScript", 11, 0, 0, 1, 12
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\Space.ts", "TypeScript", 1, 0, 0, 0, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\World.ts", "TypeScript", 0, 0, 2, -1, 1
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\chapters\chapter0.ts", "TypeScript", 52, 0, 1, 2, 55
"c:\Users\a0104\OneDrive\바탕 화면\Mental-Card\src\lib\world\entities\Npc.ts", "TypeScript", 82, 0, 1, 0, 83
"Total", "-", 184, 7, 51, 12, 254
